Experiment,Experiment_Code,Model,Num Features,RMSE,MAE,R²,MAPE (%),Index of Agreement (d),RPD,Training Time (s),Inference Time (s),Num Parameters,MSE,Explained Variance,MBE,Std of Residuals,Coverage 95%,RPIQ
E0 (G0 only),E0,XGBoost,125,15.295571,11.809823,0.772640,8.028681,0.923411,2.097213,10.983484,0.017997,9600,233.954500,0.773291,0.818576,15.273652,0.940133,2.549758
E0 (G0 only),E0,TabNet,125,16.082317,12.337763,0.748649,8.391165,0.916726,1.994618,101.761451,0.251597,14176,258.640927,0.758206,3.135993,15.773601,0.934812,2.425024
E1 (G0+G1),E1,XGBoost,165,14.848598,11.286575,0.785733,7.718849,0.928977,2.160344,10.133375,0.010001,9600,220.480853,0.787548,1.366545,14.785581,0.944568,2.626511
E1 (G0+G1),E1,TabNet,165,16.263935,12.571310,0.742940,8.329403,0.912513,1.972344,89.245239,0.244088,16736,264.515585,0.742992,0.232378,16.262275,0.937916,2.397944
E2 (G0+G1+G2),E2,XGBoost,177,14.994418,11.442010,0.781504,7.806391,0.928055,2.139334,10.631740,0.009999,9600,224.832567,0.783653,1.486862,14.920516,0.936585,2.600968
E2 (G0+G1+G2),E2,TabNet,177,17.216319,13.553946,0.711953,8.875483,0.921179,1.863237,85.904509,0.409136,17504,296.401644,0.735404,4.912429,16.500596,0.938359,2.265293
E3 (G0+G1+G2+G3),E3,XGBoost,179,14.859072,11.347587,0.785431,7.784760,0.928648,2.158821,11.779652,0.013001,9600,220.792016,0.788717,1.838923,14.744842,0.938359,2.624659
E3 (G0+G1+G2+G3),E3,TabNet,179,15.420981,11.786564,0.768896,8.055413,0.924211,2.080158,120.537995,0.525694,17632,237.806647,0.772840,2.014593,15.288821,0.940133,2.529022
E4 (G0+G1+G2+G3+G4),E4,XGBoost,181,14.950905,11.444228,0.782771,7.785642,0.927898,2.145561,14.824064,0.015704,9600,223.529560,0.783509,0.871737,14.925469,0.942350,2.608538
E4 (G0+G1+G2+G3+G4),E4,TabNet,181,16.313293,12.536508,0.741377,8.471269,0.919888,1.966376,125.261516,0.545269,17760,266.123517,0.762244,4.633779,15.641343,0.929047,2.390688
E5 (All features),E5,XGBoost,184,15.327280,11.691926,0.771696,7.951341,0.923270,2.092875,16.541869,0.016194,9600,234.925497,0.771932,0.492951,15.319350,0.941463,2.544483
E5 (All features),E5,TabNet,184,15.932515,12.204304,0.753310,8.310852,0.919354,2.013372,119.645369,0.246438,17952,253.845036,0.754464,1.089672,15.895208,0.937916,2.447824
