Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
GPP_8_Low,NDVI_8_NegativeImpact,0.074,0.6981132075471698,3.713368125250903,3.1108215992667936,internal_consistency,satellite,satellite,GPP_8,NDVI_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,GPP_8_PositiveImpact,0.084,0.5833333333333334,3.691983122362869,2.5843881856540087,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_8,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,EVI_8_NegativeImpact,0.074,0.513888888888889,3.893097643097643,2.40074354657688,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,EVI_8,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,GPP_6_MediumImpact,0.114,0.7916666666666667,2.505274261603376,2.3800105485232077,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | GPP_8_Low,GPP_6_MediumImpact,0.068,0.7906976744186047,2.5022078304386226,2.3741878949278097,internal_consistency,satellite,satellite,NDVI_7 | GPP_8,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,NDVI_9_NegativeImpact,0.096,0.5161290322580645,3.7950664136622394,2.3504927465262893,internal_consistency,satellite,satellite,NDVI_8,NDVI_9,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,EVI_8_NegativeImpact,0.092,0.4946236559139785,3.747148908439231,2.2241141908155435,internal_consistency,satellite,satellite,NDVI_8,EVI_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_Medium | NDVI_8_Medium,GPP_9_MediumImpact,0.072,0.7199999999999999,2.535211267605633,2.190422535211267,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,GPP_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,GPP_7_MediumImpact,0.16,0.7017543859649122,2.419842710223836,2.037762282293756,internal_consistency,satellite,satellite,NDVI_7,GPP_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,GPP_6_MediumImpact,0.136,0.7311827956989247,2.313869606642167,2.030233977440869,internal_consistency,satellite,satellite,NDVI_8,GPP_6,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,GPP_8_PositiveImpact,0.096,0.5161290322580645,3.266639444671294,2.0232089463770597,internal_consistency,satellite,satellite,NDVI_8,GPP_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low | GPP_8_Low,GPP_6_MediumImpact,0.074,0.7254901960784313,2.295855050881112,1.9987443972376735,internal_consistency,satellite,satellite,NDVI_8 | GPP_8,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,GPP_7_MediumImpact,0.1,0.6944444444444445,2.394636015325671,1.9955300127713929,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_7,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,NDVI_9_NegativeImpact,0.068,0.4722222222222222,3.4722222222222223,1.9675925925925928,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,NDVI_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Low,GPP_6_MediumImpact,0.076,0.7169811320754716,2.2689276331502266,1.952133963616044,internal_consistency,satellite,satellite,GPP_8,GPP_6,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low,GPP_7_MediumImpact | GPP_6_MediumImpact,0.124,0.543859649122807,2.9882398303450937,1.950219678751535,internal_consistency,satellite,satellite,NDVI_7,GPP_7 | GPP_6,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
