antecedents_str,consequents_str,support,confidence,lift,rule_strength,domain_mapping,features
NDVI_7_Low | GPP_8_Low,EVI_3_PositiveImpact,0.0598726114649681,0.5875,2.31171679197995,1.629760338345865,Sat → Sat,"['GPP_8', 'NDVI_7', 'EVI_3']"
NDVI_7_Low | GPP_7_Low,EVI_3_PositiveImpact,0.0662420382165605,0.5842696629213483,2.299005941820844,1.6118873120182098,Sat → Sat,"['EVI_3', 'NDVI_7', 'GPP_7']"
EVI_8_Low | GPP_7_Low,EVI_3_PositiveImpact,0.064968152866242,0.5828571428571429,2.2934479054779806,1.6041029921743133,Sat → Sat,"['EVI_8', 'GPP_7', 'EVI_3']"
NDVI_8_Low | GPP_7_Low,EVI_3_PositiveImpact,0.0668789808917197,0.5706521739130435,2.245423340961098,1.5376268530494477,Sat → Sat,"['NDVI_8', 'EVI_3', 'GPP_7']"
NDVI_7_Low | EVI_8_Low,EVI_3_PositiveImpact,0.0955414012738853,0.570342205323194,2.244203665056177,1.5359568810270414,Sat → Sat,"['EVI_8', 'NDVI_7', 'EVI_3']"
GPP_8_Low,NDVI_8_MediumImpact | TMAX_11_PositiveImpact,0.0834394904458598,0.6787564766839378,1.8794491506063185,1.530825940286597,Sat → Clim / Sat,"['NDVI_8', 'GPP_8', 'TMAX_11']"
EVI_8_Low | NDVI_9_Low,EVI_3_PositiveImpact,0.1031847133757961,0.568421052631579,2.2366442421844086,1.5256268094057863,Sat → Sat,"['EVI_8', 'NDVI_9', 'EVI_3']"
organic_matter_Medium | NDVI_9_High,EVI_1_NegativeImpact,0.0885350318471337,0.6714975845410628,1.8859592267074572,1.519700478332386,Sat → Sat,"['NDVI_9', 'organic_matter', 'EVI_1']"
NDVI_8_Low | GPP_8_Low,EVI_3_PositiveImpact,0.0605095541401273,0.5588235294117647,2.1988795518207285,1.4745427582797828,Sat → Sat,"['NDVI_8', 'GPP_8', 'EVI_3']"
NDVI_7_Low | NDVI_9_Low,EVI_3_PositiveImpact,0.0878980891719745,0.5564516129032258,2.1895464467620664,1.4620519821927345,Sat → Sat,"['EVI_3', 'NDVI_9', 'NDVI_7']"
GPP_7_Low,organic_matter_MediumImpact | EVI_3_PositiveImpact,0.0675159235668789,0.5326633165829145,2.284921877145289,1.460512878255682,Sat → Sat,"['EVI_3', 'organic_matter', 'GPP_7']"
NDVI_9_Low | GPP_7_Low,EVI_3_PositiveImpact,0.062420382165605,0.5536723163841808,2.178610367727228,1.4474834985577514,Sat → Sat,"['EVI_3', 'NDVI_9', 'GPP_7']"
EVI_8_Low,NDVI_8_MediumImpact | EVI_3_PositiveImpact,0.1127388535031847,0.5379939209726443,2.2286291713114816,1.438786735521455,Sat → Sat,"['NDVI_8', 'EVI_8', 'EVI_3']"
GPP_7_Low,NDVI_8_MediumImpact | EVI_3_PositiveImpact,0.0681528662420382,0.5376884422110553,2.227363731586693,1.4371532820891024,Sat → Sat,"['NDVI_8', 'EVI_3', 'GPP_7']"
NDVI_8_Low | EVI_8_Low,EVI_3_PositiveImpact,0.1063694267515923,0.5511551155115512,2.1687055923637475,1.4343518175237455,Sat → Sat,"['NDVI_8', 'EVI_8', 'EVI_3']"
NDVI_8_Low | NDVI_7_Low,EVI_3_PositiveImpact,0.1012738853503184,0.5501730103806229,2.164841168665609,1.4292446193127968,Sat → Sat,"['NDVI_8', 'EVI_3', 'NDVI_7']"
NDVI_8_Low | NDVI_9_Low,EVI_3_PositiveImpact,0.1031847133757961,0.5491525423728814,2.160825793296801,1.4239475736166038,Sat → Sat,"['NDVI_8', 'EVI_3', 'NDVI_9']"
EVI_8_Low,organic_matter_MediumImpact | EVI_3_PositiveImpact,0.1101910828025477,0.5258358662613982,2.255634726859004,1.4233123686806357,Sat → Sat,"['EVI_8', 'organic_matter', 'EVI_3']"
NDVI_8_High | organic_matter_Medium,EVI_1_NegativeImpact,0.0898089171974522,0.6467889908256881,1.816562997488963,1.409919537500608,Sat → Sat,"['NDVI_8', 'organic_matter', 'EVI_1']"
EVI_8_Low,EVI_3_PositiveImpact,0.1140127388535031,0.5440729483282675,2.140838418234035,1.397726724123619,Sat → Sat,"['EVI_8', 'EVI_3']"
