Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
NDVI_7_Medium | NDVI_8_High,VPDMIN_11_PositiveImpact,0.078,0.75,1.953125,1.7578125,cross_domain,satellite,climate,NDVI_7 | NDVI_8,VPDMIN_11,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,year_HighNegativeImpact,0.104,0.7222222222222222,1.951951951951952,1.6916916916916915,cross_domain,satellite,geo_temp,NDVI_7 | NDVI_8,year,2,1,"satellite → geo_temp (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,VPDMIN_11_NegativeImpact,0.088,0.6111111111111112,2.1072796934865905,1.5453384418901666,cross_domain,satellite,climate,NDVI_7 | NDVI_8,VPDMIN_11,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_High | NDVI_7_High,Y_MediumImpact,0.274,0.778409090909091,1.6082832456799403,1.5022827590328536,cross_domain,satellite,geo_temp,NDVI_8 | NDVI_7,Y,2,1,"satellite → geo_temp (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Medium | GPP_8_Medium,wilting_point_NegativeImpact,0.072,0.7199999999999999,1.6513761467889905,1.4267889908256877,cross_domain,satellite,soil,NDVI_7 | GPP_8,wilting_point,2,1,"satellite → soil (Antecedent: 2 features, Consequent: 1 features)"
X_Low,TMIN_9_MediumImpact,0.198,0.66,1.746031746031746,1.382857142857143,cross_domain,geo_temp,climate,X,TMIN_9,1,1,"geo_temp → climate (Antecedent: 1 features, Consequent: 1 features)"
year_High | X_Low,TMIN_9_MediumImpact,0.198,0.66,1.746031746031746,1.382857142857143,cross_domain,geo_temp,climate,year | X,TMIN_9,2,1,"geo_temp → climate (Antecedent: 2 features, Consequent: 1 features)"
X_Low,GPP_5_MediumImpact,0.186,0.62,1.8343195266272188,1.3647337278106508,cross_domain,geo_temp,satellite,X,GPP_5,1,1,"geo_temp → satellite (Antecedent: 1 features, Consequent: 1 features)"
year_High | X_Low,GPP_5_MediumImpact,0.186,0.62,1.8343195266272188,1.3647337278106508,cross_domain,geo_temp,satellite,year | X,GPP_5,2,1,"geo_temp → satellite (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Medium | NDVI_8_Medium,wilting_point_NegativeImpact,0.07,0.7000000000000001,1.6055045871559634,1.3486238532110095,cross_domain,satellite,soil,GPP_8 | NDVI_8,wilting_point,2,1,"satellite → soil (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,year_HighNegativeImpact,0.146,0.6403508771929824,1.7306780464675202,1.3298894462329365,cross_domain,satellite,geo_temp,NDVI_7,year,1,1,"satellite → geo_temp (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low,Y_PositiveImpact,0.13,0.5701754385964912,1.93937224012412,1.3269389011375556,cross_domain,satellite,geo_temp,NDVI_7,Y,1,1,"satellite → geo_temp (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,VPDMIN_11_NegativeImpact,0.104,0.5591397849462365,1.92806822395254,1.2936715825229943,cross_domain,satellite,climate,NDVI_8,VPDMIN_11,1,1,"satellite → climate (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,year_HighNegativeImpact,0.116,0.6236559139784946,1.6855565242662016,1.261448753644383,cross_domain,satellite,geo_temp,NDVI_8,year,1,1,"satellite → geo_temp (Antecedent: 1 features, Consequent: 1 features)"
X_Low,VPDMIN_8_MediumImpact | TMIN_9_MediumImpact,0.156,0.52,2.0,1.248,cross_domain,geo_temp,climate,X,VPDMIN_8 | TMIN_9,1,2,"geo_temp → climate (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Low,TMIN_9_MediumImpact,0.142,0.6228070175438596,1.647637612549893,1.2313923209583408,cross_domain,satellite,climate,NDVI_7,TMIN_9,1,1,"satellite → climate (Antecedent: 1 features, Consequent: 1 features)"
