antecedents_str,consequents_str,support,confidence,lift,rule_strength,domain_mapping,features
GPP_8_Low,organic_matter_MediumImpact | TMAX_11_PositiveImpact,0.0898089171974522,0.7305699481865284,1.9844201014755185,1.7397092288583298,Sat → Clim,"['GPP_8', 'organic_matter', 'TMAX_11']"
GPP_7_Low | GPP_8_Low,TMAX_11_PositiveImpact,0.0777070063694267,0.7530864197530863,1.9131807103759635,1.728948493821241,Sat → Clim,"['GPP_8', 'TMAX_11', 'GPP_7']"
GPP_8_Low,TMAX_11_PositiveImpact,0.0923566878980891,0.7512953367875647,1.9086305481496384,1.72073427657014,Sat → Clim,"['GPP_8', 'TMAX_11']"
NDVI_7_Low | GPP_8_Low,TMAX_11_PositiveImpact,0.075796178343949,0.7437499999999999,1.889461974110032,1.6863448118932034,Sat → Clim,"['GPP_8', 'TMAX_11', 'NDVI_7']"
GPP_7_Low,organic_matter_MediumImpact | TMAX_11_PositiveImpact,0.0910828025477707,0.7185929648241206,1.9518874650066944,1.683135120578637,Sat → Clim,"['TMAX_11', 'organic_matter', 'GPP_7']"
NDVI_8_Low | GPP_8_Low,TMAX_11_PositiveImpact,0.0802547770700636,0.7411764705882352,1.882924043403769,1.6746947962508816,Sat → Clim,"['NDVI_8', 'GPP_8', 'TMAX_11']"
EVI_8_Low | GPP_8_Low,TMAX_11_PositiveImpact,0.0777070063694267,0.7393939393939394,1.8783956065509464,1.6666491927215663,Sat → Clim,"['EVI_8', 'GPP_8', 'TMAX_11']"
NDVI_9_Low | GPP_8_Low,TMAX_11_PositiveImpact,0.0808917197452229,0.7383720930232558,1.875799653796944,1.662045739759618,Sat → Clim,"['GPP_8', 'NDVI_9', 'TMAX_11']"
NDVI_7_Low | GPP_8_Low,TMIN_1_NegativeImpact,0.0636942675159235,0.625,2.185412026726058,1.6390590200445436,Sat → Clim,"['GPP_8', 'NDVI_7', 'TMIN_1']"
GPP_7_Low,TMAX_11_PositiveImpact,0.0917197452229299,0.7236180904522612,1.838317802605259,1.5962880215587372,Sat → Clim,"['TMAX_11', 'GPP_7']"
EVI_8_Low | GPP_7_Low,TMAX_11_PositiveImpact,0.0802547770700636,0.72,1.8291262135922328,1.580365048543689,Sat → Clim,"['EVI_8', 'TMAX_11', 'GPP_7']"
NDVI_7_Medium | organic_matter_High,TMAX_1_NegativeImpact,0.0955414012738853,0.6072874493927126,2.161998402599907,1.5755453946072195,Sat → Clim,"['organic_matter', 'NDVI_7', 'TMAX_1']"
NDVI_8_Low | GPP_7_Low,TMAX_11_PositiveImpact,0.0840764331210191,0.717391304347826,1.8224989447024056,1.5689338741351144,Sat → Clim,"['NDVI_8', 'TMAX_11', 'GPP_7']"
NDVI_7_Low | GPP_7_Low,TMAX_11_PositiveImpact,0.0808917197452229,0.7134831460674157,1.812570451983564,1.5518861622600852,Sat → Clim,"['TMAX_11', 'NDVI_7', 'GPP_7']"
NDVI_9_Low | GPP_7_Low,TMAX_11_PositiveImpact,0.0802547770700636,0.711864406779661,1.808458120783281,1.544852360804701,Sat → Clim,"['NDVI_9', 'TMAX_11', 'GPP_7']"
EVI_8_Low | GPP_8_Low,TMIN_1_NegativeImpact,0.0636942675159235,0.6060606060606061,2.119187419855572,1.5412272144404155,Sat → Clim,"['EVI_8', 'GPP_8', 'TMIN_1']"
GPP_8_Low,VPDMAX_4_MediumImpact | TMIN_1_NegativeImpact,0.064968152866242,0.5284974093264249,2.426143077902009,1.5386523975917403,Sat → Clim,"['GPP_8', 'VPDMAX_4', 'TMIN_1']"
NDVI_9_Low | GPP_8_Low,TMIN_1_NegativeImpact,0.0662420382165605,0.6046511627906976,2.1142590770186978,1.5340670512321712,Sat → Clim,"['GPP_8', 'NDVI_9', 'TMIN_1']"
NDVI_8_Low | GPP_8_Low,TMIN_1_NegativeImpact,0.0643312101910828,0.5941176470588235,2.077426961876065,1.4810832222316412,Sat → Clim,"['NDVI_8', 'GPP_8', 'TMIN_1']"
GPP_8_Low,VPDMIN_3_PositiveImpact | TMAX_11_PositiveImpact,0.0675159235668789,0.5492227979274611,2.2338854734355285,1.4722809959637262,Sat → Clim,"['VPDMIN_3', 'GPP_8', 'TMAX_11']"
