rule_idx,antecedent_count,consequent_feature,samples_true,samples_false,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,cliffs_delta,mean_diff,direction_consistent,predicted_impact_type,actual_direction,predicted_direction,fdr_q_value,fdr_significant
1,1,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
2,2,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
3,2,NDVI_8,69,431,-22.53053326870518,7.170108949937187e-48,1371.0,8.933372689804266e-34,-2.0552572523020296,-0.9077978412186019,-0.51848143,True,negative,negative,negative,1.9916969305381076e-47,True
4,1,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
5,2,NDVI_8,67,433,-22.752640055656496,3.409994836665174e-47,1218.0,1.4658115688506644e-33,-2.094867535936109,-0.9160318499879356,-0.5272832,True,negative,negative,negative,8.5249870916629345e-47,True
6,2,EVI_season_max,67,433,-26.262484013596264,1.5209628535266623e-47,1100.0,3.959261487024459e-34,-2.864220803856976,-0.9241666953914033,-1.1260345,True,negative,negative,negative,4.002533825070164e-47,True
7,2,NDVI_9,67,433,-12.841727586394166,9.141523210902481e-21,1570.0,6.797865239887875e-32,-2.1750434351655192,-0.8917651925131846,-0.5545201,True,negative,negative,negative,1.1720457310151508e-31,True
8,1,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
9,1,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
10,2,EVI_season_max,77,423,-25.828198933862993,8.905261485282316e-50,1287.0,7.418264218725293e-38,-2.9157630864814985,-0.9209726443768997,-1.1030793,True,negative,negative,negative,2.6191945544947985e-49,True
11,2,NDVI_season_mean,41,459,-6.191689252696424,4.614269724458875e-09,9401.0,0.9927989199051911,-0.4119114201845468,-0.0009033423667570428,-0.93089813,,medium,negative,neutral,5.126966360509862e-09,True
12,1,TMIN_season_std,88,412,-3.5240211862490636,0.0006041586729282182,12245.0,1.7418194072913014e-06,-0.44314331921506905,-0.32452559576345985,-0.010672957,,medium,negative,neutral,1.777366742133981e-06,True
13,1,EVI_season_max,88,412,-25.179264119429885,4.617706940433391e-51,1541.0,2.01118206069157e-41,-2.9715089795567593,-0.9149933804060018,-1.0806339,True,negative,negative,negative,1.4430334188854346e-50,True
14,2,EVI_season_max,88,412,-25.179264119429885,4.617706940433391e-51,1541.0,2.01118206069157e-41,-2.9715089795567593,-0.9149933804060018,-1.0806339,True,negative,negative,negative,1.4430334188854346e-50,True
15,2,NDVI_9,69,431,-13.378770791372371,4.84542598230601e-22,1445.0,2.0035364539010003e-33,-2.2112183116687354,-0.9028212112041427,-0.55787843,True,negative,negative,negative,3.71025269240926e-33,True
16,1,NDVI_8,88,412,-25.907724970162437,1.982009620572204e-65,1061.0,9.416445622327376e-44,-2.2619267115947026,-0.9414717563989409,-0.52984357,True,negative,negative,negative,7.623113925277707e-65,True
17,2,EVI_season_max,69,431,-22.744883344157767,1.6952612121833793e-42,1795.0,8.612325018179886e-32,-2.5034018231612234,-0.8792830962708901,-1.0408983,True,negative,negative,negative,3.6853504612682155e-42,True
18,2,EVI_season_max,62,438,-16.985882833567867,3.5762446276552463e-28,2225.0,1.5360207311722273e-26,-2.2960040870421934,-0.8361319782000295,-1.0058943,True,negative,negative,negative,5.259183275963597e-28,True
19,2,VPDMIN_11,40,460,-15.215720717405787,5.702240844107351e-29,3317.0,1.9252792013351487e-11,-1.132642788448455,-0.6394565217391304,-0.4276538,True,negative,negative,negative,8.639758854708108e-29,True
20,1,NDVI_8,53,447,-17.484303707308264,1.24762281550055e-30,1817.0,6.5617542415472446e-24,-1.7363337287743497,-0.8466084166983243,-0.47362283,True,negative,negative,negative,1.9494106492196095e-30,True
21,2,NDVI_8,53,447,-17.484303707308264,1.24762281550055e-30,1817.0,6.5617542415472446e-24,-1.7363337287743497,-0.8466084166983243,-0.47362283,True,negative,negative,negative,1.9494106492196095e-30,True
