Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
NDVI_season_max_Low,NDVI_8_NegativeImpact,0.138,0.7840909090909092,4.170696324951645,3.924246087568138,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
NDVI_season_max_Low | year_High,NDVI_8_NegativeImpact,0.138,0.7840909090909092,4.170696324951645,3.924246087568138,mixed,geo_temp | satellite,satellite,NDVI_season_max | year,NDVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low | X_Low,NDVI_8_NegativeImpact,0.108,0.7826086956521738,4.162812210915818,3.909423641555724,mixed,geo_temp | satellite,satellite,NDVI_season_max | X,NDVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | TMIN_season_std_MediumImpact,0.134,0.7613636363636365,4.277323799795711,3.9079185625406265,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,NDVI_8 | TMIN_season_std,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_7_Low,NDVI_8_NegativeImpact,0.102,0.7611940298507461,4.048904414099714,3.698402240938842,mixed,geo_temp | satellite,satellite,NDVI_season_max | NDVI_7,NDVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low | NDVI_7_Low,EVI_season_max_NegativeImpact,0.098,0.7313432835820896,4.018369690011482,3.526569220487688,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | NDVI_7,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low | X_Low,NDVI_9_NegativeImpact,0.084,0.6268656716417911,4.6093064091308165,3.4672991495551213,mixed,geo_temp | satellite,satellite,NDVI_8 | X,NDVI_9,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | GPP_5_MediumImpact,0.108,0.6136363636363636,4.648760330578512,3.4231780616078136,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | GPP_5,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | EVI_season_max_NegativeImpact,0.1,0.5681818181818182,4.984051036682616,3.398216615919966,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_8 | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_8_Low,EVI_season_max_NegativeImpact,0.11,0.7142857142857143,3.9246467817896393,3.363982955819691,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | NDVI_8,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
organic_matter_Low | NDVI_season_max_Low,NDVI_season_mean_MediumImpact,0.07,0.853658536585366,3.209242618741977,3.287516828955196,mixed,geo_temp | satellite | soil,geo_temp | satellite,organic_matter | NDVI_season_max,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
