antecedents_str,consequents_str,support,confidence,lift,rule_strength,domain_mapping,features
GPP_8_Low,Y_MediumImpact | TMAX_11_PositiveImpact,0.0821656050955414,0.6683937823834196,2.124247446036374,1.7038005422094853,Sat → Clim / Geo,"['GPP_8', 'TMAX_11', 'Y']"
GPP_7_Low,Y_MediumImpact | TMAX_11_PositiveImpact,0.0840764331210191,0.6633165829145728,2.1081114072386224,1.6780143060633057,Sat → Clim / Geo,"['TMAX_11', 'GPP_7', 'Y']"
GPP_8_Low,b_density_MediumImpact | TMAX_11_PositiveImpact,0.0802547770700636,0.6528497409326425,1.9560574298936044,1.532413903626492,Sat → Clim / Geo,"['GPP_8', 'TMAX_11', 'b_density']"
GPP_7_Low,b_density_MediumImpact | TMAX_11_PositiveImpact,0.0777070063694267,0.6130653266331658,1.8368560359047144,1.351335294756031,Sat → Clim / Geo,"['b_density', 'TMAX_11', 'GPP_7']"
GPP_8_Low,b_density_MediumImpact | VPDMIN_3_PositiveImpact,0.0815286624203821,0.6632124352331605,1.584845545382134,1.261307128345574,Sat → Clim / Geo,"['VPDMIN_3', 'GPP_8', 'b_density']"
GPP_8_Low,TMIN_1_NegativeImpact | b_density_MediumImpact,0.0611464968152866,0.4974093264248704,2.0179138048760894,1.2044749757602358,Sat → Clim / Geo,"['GPP_8', 'b_density', 'TMIN_1']"
GPP_7_Low,b_density_MediumImpact | VPDMIN_3_PositiveImpact,0.0815286624203821,0.6432160804020101,1.5370612575816678,1.1863950209273575,Sat → Clim / Geo,"['VPDMIN_3', 'b_density', 'GPP_7']"
EVI_8_Low | organic_matter_Low,pH_PositiveImpact,0.0592356687898089,0.5670731707317073,1.7321106576824523,1.1786801792522053,Other,"['EVI_8', 'organic_matter', 'pH']"
GPP_8_Low,Y_MediumImpact | VPDMIN_3_PositiveImpact,0.0675159235668789,0.5492227979274611,1.759754679073702,1.15979686620816,Sat → Clim / Geo,"['VPDMIN_3', 'GPP_8', 'Y']"
NDVI_9_Low | organic_matter_Low,pH_PositiveImpact,0.0694267515923566,0.5618556701030928,1.716173933972482,1.1570904668226836,Other,"['pH', 'NDVI_9', 'organic_matter']"
EVI_8_Low | NDVI_9_Low,pH_PositiveImpact,0.1019108280254777,0.5614035087719299,1.714792818622432,1.155228846229849,Other,"['EVI_8', 'NDVI_9', 'pH']"
NDVI_9_Low,b_density_MediumImpact | TMAX_11_PositiveImpact,0.1292993630573248,0.5638888888888889,1.689514418999152,1.143238090189426,Sat → Clim / Geo,"['NDVI_9', 'TMAX_11', 'b_density']"
NDVI_8_High | organic_matter_Medium,sand_percent_MediumImpact,0.1203821656050955,0.8669724770642202,1.310054657354019,1.135781331375732,Other,"['NDVI_8', 'organic_matter', 'sand_percent']"
NDVI_8_Low | NDVI_9_Low,pH_PositiveImpact,0.1044585987261146,0.5559322033898305,1.6980808547121282,1.13282139731304,Other,"['NDVI_8', 'pH', 'NDVI_9']"
NDVI_7_High | organic_matter_Medium,sand_percent_MediumImpact,0.1248407643312101,0.8596491228070176,1.2989885686304308,1.1166743835594932,Other,"['organic_matter', 'NDVI_7', 'sand_percent']"
GPP_8_Low,Y_MediumImpact | TMIN_3_MediumImpact,0.0611464968152866,0.4974093264248704,1.863801056055004,1.112486433458738,Sat → Clim / Geo,"['GPP_8', 'TMIN_3', 'Y']"
NDVI_8_Low | GPP_8_Low,pH_PositiveImpact,0.0592356687898089,0.5470588235294117,1.6709773403524832,1.0969474775490418,Other,"['NDVI_8', 'GPP_8', 'pH']"
NDVI_8_High | organic_matter_Low,sand_percent_MediumImpact,0.0840764331210191,0.8516129032258064,1.2868452916886584,1.095894054857438,Other,"['NDVI_8', 'organic_matter', 'sand_percent']"
NDVI_9_Low,organic_matter_MediumImpact | pH_PositiveImpact,0.1178343949044586,0.5138888888888888,1.757746308399903,1.0839435568466067,Other,"['pH', 'NDVI_9', 'organic_matter']"
NDVI_9_Low,pH_PositiveImpact,0.1235668789808917,0.5388888888888889,1.6460224816255944,1.0644278714512176,Other,"['pH', 'NDVI_9']"
