antecedents,consequents,support,confidence,lift,features,antecedent_features,consequent_features,rule_strength,antecedents_str,consequents_str
['F_GPP_8_Low'],"['S_organic_matter_MediumImpact', 'S_TMAX_11_PositiveImpact']",0.08980891719745222,0.7305699481865284,1.9844201014755185,"['GPP_8', 'organic_matter', 'TMAX_11']",['GPP_8'],"['organic_matter', 'TMAX_11']",1.7397092288583298,GPP_8_Low,organic_matter_MediumImpact | TMAX_11_PositiveImpact
"['F_GPP_7_Low', 'F_GPP_8_Low']",['S_TMAX_11_PositiveImpact'],0.07770700636942675,0.7530864197530863,1.9131807103759635,"['GPP_8', 'TMAX_11', 'GPP_7']","['GPP_8', 'GPP_7']",['TMAX_11'],1.728948493821241,GPP_7_Low | GPP_8_Low,TMAX_11_PositiveImpact
['F_GPP_8_Low'],['S_TMAX_11_PositiveImpact'],0.09235668789808917,0.7512953367875647,1.9086305481496382,"['GPP_8', 'TMAX_11']",['GPP_8'],['TMAX_11'],1.7207342765701399,GPP_8_Low,TMAX_11_PositiveImpact
['F_GPP_8_Low'],"['S_Y_MediumImpact', 'S_TMAX_11_PositiveImpact']",0.0821656050955414,0.6683937823834196,2.124247446036374,"['GPP_8', 'TMAX_11', 'Y']",['GPP_8'],"['TMAX_11', 'Y']",1.7038005422094853,GPP_8_Low,Y_MediumImpact | TMAX_11_PositiveImpact
"['F_NDVI_7_Low', 'F_GPP_8_Low']",['S_TMAX_11_PositiveImpact'],0.07579617834394904,0.7437499999999999,1.889461974110032,"['GPP_8', 'TMAX_11', 'NDVI_7']","['GPP_8', 'NDVI_7']",['TMAX_11'],1.6863448118932034,NDVI_7_Low | GPP_8_Low,TMAX_11_PositiveImpact
['F_GPP_7_Low'],"['S_organic_matter_MediumImpact', 'S_TMAX_11_PositiveImpact']",0.0910828025477707,0.7185929648241206,1.9518874650066944,"['TMAX_11', 'organic_matter', 'GPP_7']",['GPP_7'],"['organic_matter', 'TMAX_11']",1.683135120578637,GPP_7_Low,organic_matter_MediumImpact | TMAX_11_PositiveImpact
['F_GPP_7_Low'],"['S_Y_MediumImpact', 'S_TMAX_11_PositiveImpact']",0.0840764331210191,0.6633165829145728,2.1081114072386224,"['TMAX_11', 'GPP_7', 'Y']",['GPP_7'],"['TMAX_11', 'Y']",1.6780143060633055,GPP_7_Low,Y_MediumImpact | TMAX_11_PositiveImpact
"['F_NDVI_8_Low', 'F_GPP_8_Low']",['S_TMAX_11_PositiveImpact'],0.08025477707006369,0.7411764705882352,1.882924043403769,"['NDVI_8', 'GPP_8', 'TMAX_11']","['NDVI_8', 'GPP_8']",['TMAX_11'],1.6746947962508816,NDVI_8_Low | GPP_8_Low,TMAX_11_PositiveImpact
"['F_EVI_8_Low', 'F_GPP_8_Low']",['S_TMAX_11_PositiveImpact'],0.07770700636942675,0.7393939393939394,1.8783956065509462,"['EVI_8', 'GPP_8', 'TMAX_11']","['EVI_8', 'GPP_8']",['TMAX_11'],1.6666491927215665,EVI_8_Low | GPP_8_Low,TMAX_11_PositiveImpact
"['F_NDVI_9_Low', 'F_GPP_8_Low']",['S_TMAX_11_PositiveImpact'],0.08089171974522293,0.7383720930232558,1.8757996537969441,"['GPP_8', 'NDVI_9', 'TMAX_11']","['GPP_8', 'NDVI_9']",['TMAX_11'],1.662045739759618,NDVI_9_Low | GPP_8_Low,TMAX_11_PositiveImpact
"['F_NDVI_7_Low', 'F_GPP_8_Low']",['S_TMIN_1_NegativeImpact'],0.06369426751592357,0.625,2.185412026726058,"['GPP_8', 'NDVI_7', 'TMIN_1']","['GPP_8', 'NDVI_7']",['TMIN_1'],1.6390590200445436,NDVI_7_Low | GPP_8_Low,TMIN_1_NegativeImpact
"['F_NDVI_7_Low', 'F_GPP_8_Low']",['S_EVI_3_PositiveImpact'],0.05987261146496815,0.5875,2.31171679197995,"['GPP_8', 'NDVI_7', 'EVI_3']","['GPP_8', 'NDVI_7']",['EVI_3'],1.629760338345865,NDVI_7_Low | GPP_8_Low,EVI_3_PositiveImpact
"['F_NDVI_7_Low', 'F_GPP_7_Low']",['S_EVI_3_PositiveImpact'],0.06624203821656051,0.5842696629213483,2.299005941820844,"['EVI_3', 'NDVI_7', 'GPP_7']","['NDVI_7', 'GPP_7']",['EVI_3'],1.6118873120182098,NDVI_7_Low | GPP_7_Low,EVI_3_PositiveImpact
"['F_EVI_8_Low', 'F_GPP_7_Low']",['S_EVI_3_PositiveImpact'],0.06496815286624204,0.5828571428571429,2.2934479054779806,"['EVI_8', 'GPP_7', 'EVI_3']","['EVI_8', 'GPP_7']",['EVI_3'],1.6041029921743133,EVI_8_Low | GPP_7_Low,EVI_3_PositiveImpact
['F_GPP_7_Low'],['S_TMAX_11_PositiveImpact'],0.09171974522292993,0.7236180904522612,1.838317802605259,"['TMAX_11', 'GPP_7']",['GPP_7'],['TMAX_11'],1.5962880215587372,GPP_7_Low,TMAX_11_PositiveImpact
"['F_EVI_8_Low', 'F_GPP_7_Low']",['S_TMAX_11_PositiveImpact'],0.08025477707006369,0.72,1.8291262135922328,"['EVI_8', 'TMAX_11', 'GPP_7']","['EVI_8', 'GPP_7']",['TMAX_11'],1.580365048543689,EVI_8_Low | GPP_7_Low,TMAX_11_PositiveImpact
"['F_NDVI_7_Medium', 'F_organic_matter_High']",['S_TMAX_1_NegativeImpact'],0.09554140127388536,0.6072874493927126,2.161998402599907,"['organic_matter', 'NDVI_7', 'TMAX_1']","['organic_matter', 'NDVI_7']",['TMAX_1'],1.5755453946072195,NDVI_7_Medium | organic_matter_High,TMAX_1_NegativeImpact
