feature,mean_abs_shap,mean_shap,std_shap
field_capacity,3.2433321,-0.2770965,4.5410805
wilting_point,3.2305396,-0.9887453,3.4688256
NDVI_6,2.4421158,1.1537044,2.536224
NDVI_season_mean,1.9867178,0.1797674,2.272111
NDVI_season_max,1.4993154,-0.015840257,1.669865
GPP_7,0.80598766,0.15065463,0.87593347
EVI_4,0.7704062,0.0075245895,0.869529
GPP_6,0.6732207,0.042607553,0.7630531
saturated_hc,0.64601463,0.105074435,0.7582051
EVI_season_max,0.6164038,0.36289656,0.5492551
VPDMIN_3,0.57484955,0.089624576,0.6753389
cec,0.5582885,0.09380095,0.7332182
Y,0.53957224,0.0020807872,0.74848473
year,0.51138157,-0.51045734,0.347239
NDVI_7,0.49063873,0.30483294,0.5034715
PPT_7,0.40817797,0.25857118,0.37675723
organic_matter,0.38336065,0.09340082,0.5356525
PPT_6,0.38062462,-0.10623082,0.5893451
GPP_9,0.36362734,0.25035352,0.3519452
VPDMIN_11,0.34536296,0.026865508,0.39466706
NDVI_10,0.3291541,0.11187256,0.39731258
pH,0.32395256,-0.033576187,0.44108346
b_density,0.30570233,0.10010908,0.35861918
GPP_10,0.27718216,0.1790394,0.29841
TMIN_9,0.27049023,0.22268322,0.23996238
NDVI_8,0.26835406,0.1132798,0.30912003
NDVI_9,0.2646376,0.0917473,0.31720927
GPP_5,0.24730533,-0.087343656,0.2945656
sand_percent,0.24214411,-0.026442138,0.3150329
TMEAN_1,0.2146041,-0.13505992,0.24977511
clay_percent,0.19398578,0.036942855,0.26941338
GPP_8,0.16678964,-0.01876886,0.2215131
PPT_8,0.16500019,0.028969279,0.2555152
GPP_season_std,0.14068198,0.10353339,0.14403224
VPDMIN_4,0.13628305,0.04081025,0.17555816
VPDMAX_4,0.12754829,-0.05667539,0.18061906
awc,0.120941475,0.017768849,0.16598241
EVI_9,0.11505153,0.0675867,0.123881824
TMEAN_11,0.106992505,0.07310246,0.14619349
EVI_8,0.08941665,0.054790054,0.11340566
TMAX_season_mean,0.07670022,-0.04864199,0.094559185
EVI_2,0.07482277,0.004645587,0.11056595
X,0.06273058,-0.0038156614,0.10781085
TMEAN_10,0.06160833,0.042252835,0.06969155
NDVI_season_std,0.055781014,-0.007840228,0.0726114
PPT_season_mean,0.055170752,-0.003295211,0.08543093
TMIN_season_std,0.048784573,0.048697203,0.02440209
VPDMIN_8,0.045283724,0.004297342,0.06043349
EVI_season_std,0.03232396,0.012071322,0.04797874
VPDMIN_season_std,0.015856199,-0.007375595,0.023317903
