Rule_ID,Antecedents,Consequents,Interpretation,Support,Confidence,Lift,Interestingness,Test_Support,Test_Accuracy
1,"GPP_2_Low, TMAX_1_Low",GPP_1_Low,IF GPP 2 Low AND TMAX 1 Low THEN GPP 1 Low,0.164,0.996,2.987,2.974,0.197,0.0
2,"GPP_9_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF GPP 9 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.154,0.979,2.937,2.876,0.161,0.0
3,"EVI_9_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF EVI 9 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.163,0.977,2.932,2.866,0.151,0.0
4,"NDVI_10_Low, EVI_8_Low",EVI_9_Low,IF NDVI 10 Low AND EVI 8 Low THEN EVI 9 Low,0.233,0.975,2.925,2.851,0.205,0.0
5,"GPP_11_Low, GPP_6_Low",GPP_7_Low,IF GPP 11 Low AND GPP 6 Low THEN GPP 7 Low,0.163,0.972,2.917,2.836,0.086,0.0
6,"EVI_2_Low, TMAX_1_Low",GPP_1_Low,IF EVI 2 Low AND TMAX 1 Low THEN GPP 1 Low,0.177,0.969,2.905,2.814,0.211,0.0
7,"EVI_8_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF EVI 8 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.163,0.967,2.901,2.806,0.138,0.0
8,"EVI_9_Low, GPP_5_Low",EVI_8_Low,IF EVI 9 Low AND GPP 5 Low THEN EVI 8 Low,0.161,0.964,2.893,2.79,0.157,0.0
9,"GPP_3_High, TMAX_1_High",GPP_1_High,IF GPP 3 High AND TMAX 1 High THEN GPP 1 High,0.158,0.964,2.891,2.786,0.173,0.0
10,"NDVI_3_Low, TMAX_1_Low",NDVI_2_Low,IF NDVI 3 Low AND TMAX 1 Low THEN NDVI 2 Low,0.161,0.963,2.89,2.784,0.175,0.0
11,"GPP_8_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF GPP 8 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.164,0.963,2.888,2.781,0.134,0.0
12,"NDVI_1_Low, TMAX_1_Low",GPP_1_Low,IF NDVI 1 Low AND TMAX 1 Low THEN GPP 1 Low,0.197,0.962,2.887,2.778,0.256,0.0
13,"NDVI_3_Low, TMAX_1_Low",GPP_1_Low,IF NDVI 3 Low AND TMAX 1 Low THEN GPP 1 Low,0.16,0.962,2.886,2.776,0.175,0.0
14,"NDVI_1_Low, EVI_2_Low",NDVI_2_Low,IF NDVI 1 Low AND EVI 2 Low THEN NDVI 2 Low,0.251,0.96,2.881,2.766,0.258,0.0
15,"GPP_5_Low, GPP_3_Low",GPP_4_Low,IF GPP 5 Low AND GPP 3 Low THEN GPP 4 Low,0.158,0.96,2.879,2.763,0.165,0.0
16,"GPP_6_Low, GPP_8_Low",GPP_7_Low,IF GPP 6 Low AND GPP 8 Low THEN GPP 7 Low,0.242,0.959,2.878,2.761,0.231,0.0
17,"EVI_9_Low, GPP_7_Low",EVI_8_Low,IF EVI 9 Low AND GPP 7 Low THEN EVI 8 Low,0.215,0.959,2.877,2.759,0.215,0.0
18,"NDVI_1_Low, NDVI_3_Low",NDVI_2_Low,IF NDVI 1 Low AND NDVI 3 Low THEN NDVI 2 Low,0.251,0.959,2.877,2.758,0.233,0.0
19,"NDVI_2_Low, NDVI_4_Low",NDVI_3_Low,IF NDVI 2 Low AND NDVI 4 Low THEN NDVI 3 Low,0.226,0.958,2.874,2.754,0.227,0.0
20,"EVI_9_Low, GPP_6_Low",EVI_8_Low,IF EVI 9 Low AND GPP 6 Low THEN EVI 8 Low,0.205,0.957,2.872,2.748,0.187,0.0
21,"VPDMIN_9_High, VPDMIN_6_High",VPDMIN_season_sum_High,IF VPDMIN 9 High AND VPDMIN 6 High THEN VPDMIN season sum High,0.191,0.957,2.87,2.747,,
22,"EVI_2_High, TMAX_1_High",GPP_1_High,IF EVI 2 High AND TMAX 1 High THEN GPP 1 High,0.162,0.957,2.87,2.745,,
23,"NDVI_2_Low, TMAX_1_Low",GPP_1_Low,IF NDVI 2 Low AND TMAX 1 Low THEN GPP 1 Low,0.187,0.957,2.869,2.744,,
24,"EVI_2_High, NDVI_1_High",NDVI_2_High,IF EVI 2 High AND NDVI 1 High THEN NDVI 2 High,0.253,0.956,2.868,2.743,,
25,"GPP_6_Low, NDVI_10_Low",GPP_7_Low,IF GPP 6 Low AND NDVI 10 Low THEN GPP 7 Low,0.187,0.956,2.867,2.739,,
26,"GPP_7_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF GPP 7 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.165,0.955,2.864,2.735,,
27,"VPDMIN_season_sum_High, GPP_6_Low",GPP_7_Low,IF VPDMIN season sum High AND GPP 6 Low THEN GPP 7 Low,0.206,0.955,2.864,2.735,,
28,"GPP_5_Low, GPP_7_Low",GPP_6_Low,IF GPP 5 Low AND GPP 7 Low THEN GPP 6 Low,0.189,0.955,2.864,2.734,,
29,"GPP_6_Low, GPP_9_Low",GPP_7_Low,IF GPP 6 Low AND GPP 9 Low THEN GPP 7 Low,0.22,0.954,2.864,2.733,,
30,"GPP_5_Low, GPP_8_Low",GPP_7_Low,IF GPP 5 Low AND GPP 8 Low THEN GPP 7 Low,0.174,0.954,2.862,2.731,,
31,"GPP_5_Low, NDVI_4_Low",GPP_4_Low,IF GPP 5 Low AND NDVI 4 Low THEN GPP 4 Low,0.151,0.953,2.86,2.726,,
32,"NDVI_2_Low, VPDMIN_season_sum_Low",NDVI_1_Low,IF NDVI 2 Low AND VPDMIN season sum Low THEN NDVI 1 Low,0.157,0.953,2.858,2.723,,
33,"NDVI_3_High, NDVI_2_High",EVI_2_High,IF NDVI 3 High AND NDVI 2 High THEN EVI 2 High,0.258,0.952,2.854,2.716,,
34,"EVI_2_High, GPP_1_High",NDVI_2_High,IF EVI 2 High AND GPP 1 High THEN NDVI 2 High,0.223,0.951,2.853,2.714,,
35,"NDVI_2_High, TMAX_1_High",GPP_1_High,IF NDVI 2 High AND TMAX 1 High THEN GPP 1 High,0.172,0.951,2.852,2.712,,
36,"NDVI_1_High, NDVI_3_High",NDVI_2_High,IF NDVI 1 High AND NDVI 3 High THEN NDVI 2 High,0.231,0.95,2.851,2.71,,
37,"EVI_9_Low, GPP_8_Low",EVI_8_Low,IF EVI 9 Low AND GPP 8 Low THEN EVI 8 Low,0.232,0.95,2.849,2.706,,
38,"GPP_6_Low, GPP_9_Low",GPP_8_Low,IF GPP 6 Low AND GPP 9 Low THEN GPP 8 Low,0.218,0.949,2.847,2.701,,
39,"GPP_9_Low, EVI_8_Low",EVI_9_Low,IF GPP 9 Low AND EVI 8 Low THEN EVI 9 Low,0.229,0.949,2.847,2.701,,
40,"GPP_5_Low, GPP_8_Low",GPP_6_Low,IF GPP 5 Low AND GPP 8 Low THEN GPP 6 Low,0.173,0.949,2.846,2.7,,
41,"NDVI_1_Low, NDVI_4_Low",NDVI_3_Low,IF NDVI 1 Low AND NDVI 4 Low THEN NDVI 3 Low,0.216,0.948,2.846,2.699,,
42,"EVI_9_Low, GPP_7_Low",GPP_8_Low,IF EVI 9 Low AND GPP 7 Low THEN GPP 8 Low,0.212,0.948,2.844,2.696,,
43,"GPP_2_High, TMAX_1_High",GPP_1_High,IF GPP 2 High AND TMAX 1 High THEN GPP 1 High,0.167,0.948,2.843,2.694,,
44,"GPP_4_Low, TMAX_1_Low",GPP_1_Low,IF GPP 4 Low AND TMAX 1 Low THEN GPP 1 Low,0.154,0.947,2.84,2.688,,
45,"NDVI_10_Low, VPDMIN_6_High",VPDMIN_season_sum_High,IF NDVI 10 Low AND VPDMIN 6 High THEN VPDMIN season sum High,0.164,0.946,2.837,2.684,,
46,"NDVI_4_High, NDVI_2_High",EVI_2_High,IF NDVI 4 High AND NDVI 2 High THEN EVI 2 High,0.212,0.946,2.837,2.683,,
47,"NDVI_10_Low, GPP_8_Low",EVI_9_Low,IF NDVI 10 Low AND GPP 8 Low THEN EVI 9 Low,0.209,0.945,2.835,2.68,,
48,"NDVI_4_High, EVI_2_High",NDVI_3_High,IF NDVI 4 High AND EVI 2 High THEN NDVI 3 High,0.223,0.945,2.835,2.679,,
49,"NDVI_2_Low, VPDMIN_6_Low",NDVI_1_Low,IF NDVI 2 Low AND VPDMIN 6 Low THEN NDVI 1 Low,0.153,0.944,2.834,2.676,,
50,"NDVI_3_Low, GPP_1_Low",NDVI_2_Low,IF NDVI 3 Low AND GPP 1 Low THEN NDVI 2 Low,0.203,0.944,2.834,2.676,,
