Feature,Bin_Strategy,Low_Bin_Edge,Medium_Bin_Edge,High_Bin_Edge
year,quantile,2006.0,2009.0,2013.0
STATE,quantile,5.0,19.0,31.0
X,quantile,-103.8468404,-95.38196775,-90.1314173
Y,quantile,33.19122198,39.89402982,42.33626189
GPP_1,quantile,0.400004907,210.19807100000003,316.9208783
GPP_2,quantile,101.3063606,315.1115260000001,429.1302887
GPP_3,quantile,218.0017988,434.3741845,553.5981604
GPP_4,quantile,207.7323729,613.5310472,734.1191734
GPP_5,quantile,207.8232709,825.2989588000002,945.3719909
GPP_6,quantile,179.5788615,1006.50967,1196.801563
GPP_7,quantile,175.116579,1012.602502,1260.358945
GPP_8,quantile,145.6503332,954.9781575,1166.661761
GPP_9,quantile,219.3225331,865.7592805,1052.513765
GPP_10,quantile,146.1656848,654.9289167,815.3456501
GPP_11,quantile,132.1263651,444.4213436,547.6005785000001
NDVI_1,quantile,-819.4104405,1728.004074,2213.0
NDVI_2,quantile,-64.03822891,2066.282377,2631.461155
NDVI_3,quantile,972.0523642,2366.547631,3032.821967
NDVI_4,quantile,1163.222798,2776.079929,3541.633641
NDVI_5,quantile,1577.04014,3667.969383,4447.202458
NDVI_6,quantile,1994.710678,4790.161565,5513.164766
NDVI_7,quantile,1742.993065,5532.438077,6292.448434
NDVI_8,quantile,1695.0,5673.284575,6508.731361
NDVI_9,quantile,1456.0,5266.962926,6213.338579
NDVI_10,quantile,1311.0,4360.613553,5317.139222
NDVI_11,quantile,1321.5,3032.2851,3806.432615
EVI_1,quantile,-540.5766687,2907.545456,3599.9134920000006
EVI_2,quantile,521.3886894,3318.636795,4116.295987
EVI_3,quantile,2130.871309,3666.547514,4571.386078000001
EVI_4,quantile,2223.461833,4270.731364,5185.916641
EVI_5,quantile,2224.583493,5441.355571,6362.634745
EVI_6,quantile,2656.733607,6707.44011,7478.301047
EVI_7,quantile,2687.696255,7505.01676,8159.534016
EVI_8,quantile,2487.0,7733.523996,8364.839152
EVI_9,quantile,2373.0,7488.726037,8248.017366
EVI_10,quantile,2328.0,6569.219084,7585.099868
EVI_11,quantile,2357.341193,5095.805975,6078.215986000001
PPT_1,quantile,0.0,1.8460097150000008,3.389370361000001
PPT_2,quantile,0.0,1.455812481,3.1567369
PPT_3,quantile,0.051624998,2.5736502780000006,4.344236146000001
PPT_4,quantile,0.0,2.0910180500000006,3.8085814640000013
PPT_5,quantile,0.007051688,2.6170952270000005,4.424406562
PPT_6,quantile,2.74e-06,2.7020429690000003,4.857081895
PPT_7,quantile,0.0,2.082297864,4.01083832
PPT_8,quantile,0.0,1.9533409710000003,3.771689737
PPT_9,quantile,0.0,1.817990098,3.272335064
PPT_10,quantile,0.0,1.888010941,3.8356684140000024
PPT_11,quantile,0.0,1.2932110050000007,3.100891975000001
TMEAN_1,quantile,-9.906904651,-0.2485986659999998,3.401547854000001
TMEAN_2,quantile,-2.647875417,10.93461612,13.60507154
