feature,mean_abs_shap,group
NDVI_season_max,5.982060,G1
NDVI_8,5.725173,G0
GPP_peak_mean,5.400780,G2
EVI_season_max,5.177156,G1
EVI_3,4.228704,Other
EVI_season_std,4.024816,G1
NDVI_7,3.268098,G0
NDVI_season_mean_z,3.093441,G5
EVI_9,2.782796,Other
EVI_4,2.387862,Other
TDMEAN_11,1.979898,G0
TMIN_6,1.863004,G0
EVI_8,1.809126,Other
GPP_8,1.770383,G0
EVI_2,1.722474,Other
EVI_7,1.657614,Other
NDVI_peak_mean,1.567118,G2
NDVI_9,1.451873,G0
TMEAN_6,1.433245,G0
TMEAN_11,1.273198,G0
PPT_peak_mean,1.232787,G2
VPDMIN_2,1.167938,Other
GPP_5,1.157581,G0
TMIN_2,1.134887,G0
EVI_season_mean,1.117028,G1
TMIN_9,1.037075,G0
PPT_6,1.000233,G0
TDMEAN_9,0.982476,G0
GPP_6,0.966967,G0
T_range_season_mean,0.913648,G3
VPDMIN_4,0.880945,Other
TMAX_9,0.873711,G0
TMIN_4,0.826282,G0
VPDMIN_6,0.813234,Other
VPDMIN_5,0.743728,Other
TMEAN_10,0.735304,G0
GPP_7,0.720035,G0
NDVI_late_mean,0.708231,G2
GPP_season_mean,0.706791,G1
NDVI_season_std,0.673726,G1
GPP_season_sum,0.623472,G1
VPDMIN_7,0.619388,Other
TMIN_season_std,0.581575,G1
TDMEAN_season_std,0.566405,G1
VPDMIN_9,0.546538,Other
TMAX_2,0.544049,G0
GPP_1,0.542630,G0
VPDMAX_season_std,0.540712,G1
NDVI_PPT_efficiency,0.533485,G4
NDVI_1,0.523503,G0
NDVI_11,0.520930,G0
GPP_2,0.505364,G0
VPDMAX_4,0.501150,G0
TMEAN_2,0.497463,G0
PPT_2,0.486021,G0
EVI_season_sum,0.484040,G1
TMIN_season_mean,0.478876,G1
EVI_11,0.478244,Other
TMAX_11,0.469560,G0
PPT_3,0.469555,G0
PPT_5,0.465693,G0
TMEAN_7,0.447625,G0
GPP_9,0.447163,G0
GPP_PPT_efficiency,0.445425,G4
PPT_9,0.434982,G0
TDMEAN_10,0.424506,G0
TMEAN_late_mean,0.421615,G2
VPDMIN_3,0.421471,Other
GPP_3,0.414702,G0
GPP_11,0.413041,G0
TMEAN_8,0.410589,G0
TDMEAN_4,0.410196,G0
TMEAN_9,0.405560,G0
TDMEAN_1,0.371020,G0
TMAX_8,0.358596,G0
TMAX_season_max,0.348444,G1
EVI_10,0.341087,Other
TMAX_season_mean,0.334248,G1
VPDMIN_season_mean,0.328312,G1
TMIN_season_max,0.318405,G1
PPT_4,0.314651,G0
PPT_season_sum_z,0.310525,G5
VPDMIN_season_std,0.307713,G1
VPDMAX_season_max,0.297421,G1
TMAX_1,0.293073,G0
TMAX_4,0.289753,G0
NDVI_6,0.282372,G0
TMAX_6,0.273099,G0
TDMEAN_season_mean,0.272091,G1
TMAX_3,0.268224,G0
TMEAN_season_max,0.260667,G1
TMEAN_1,0.251295,G0
TMAX_7,0.241857,G0
TDMEAN_8,0.236750,G0
VPDMAX_7,0.235948,G0
VPDMAX_6,0.233648,G0
TMEAN_early_mean,0.233166,G2
TDMEAN_2,0.216684,G0
NDVI_2,0.211004,G0
TDMEAN_season_max,0.208839,G1
NDVI_4,0.206191,G0
TMEAN_3,0.202006,G0
PPT_early_mean,0.193499,G2
VPDMIN_season_sum,0.193421,G1
TMEAN_4,0.192306,G0
VPDMIN_8,0.184171,Other
VPDMAX_11,0.179518,G0
GPP_early_mean,0.178725,G2
PPT_season_mean,0.178319,G1
TMIN_11,0.177006,G0
EVI_5,0.165877,Other
TDMEAN_5,0.164290,G0
NDVI_early_mean,0.156834,G2
TMIN_7,0.150854,G0
PPT_late_mean,0.149777,G2
NDVI_10,0.149505,G0
VPDMAX_2,0.149469,G0
VPDMAX_8,0.145479,G0
PPT_8,0.145018,G0
PPT_1,0.137525,G0
VPDMAX_3,0.133672,G0
EVI_1,0.133471,Other
PPT_season_sum,0.132277,G1
VPDMAX_10,0.130514,G0
GPP_10,0.128437,G0
VPDMIN_season_max,0.128168,G1
GPP_late_mean,0.125319,G2
VPDMAX_9,0.118817,G0
TDMEAN_6,0.118750,G0
VPDMAX_season_mean,0.118599,G1
PPT_7,0.116091,G0
VPDMAX_5,0.113521,G0
GPP_4,0.109146,G0
VPDMAX_1,0.106393,G0
EVI_6,0.104796,Other
NDVI_3,0.103690,G0
TMEAN_season_mean_z,0.099876,G5
TMIN_3,0.099113,G0
TMAX_season_std,0.092076,G1
TMIN_5,0.084854,G0
NDVI_5,0.084601,G0
PPT_season_std,0.082647,G1
GPP_season_max,0.080941,G1
NDVI_season_sum,0.079351,G1
TMIN_8,0.076643,G0
VPDMAX_season_sum,0.073285,G1
GPP_season_std,0.071142,G1
PPT_season_max,0.070351,G1
TMIN_1,0.068658,G0
VPDMIN_1,0.064628,Other
NDVI_season_mean,0.063894,G1
TDMEAN_3,0.056226,G0
PPT_10,0.055079,G0
PPT_11,0.050764,G0
TMAX_5,0.050024,G0
TMEAN_season_mean,0.044432,G1
TMAX_season_sum,0.043339,G1
TMEAN_season_sum,0.041073,G1
TDMEAN_7,0.040544,G0
VPDMIN_11,0.039368,Other
TMEAN_peak_mean,0.034810,G2
TMEAN_season_std,0.030593,G1
VPDMIN_10,0.023122,Other
TMIN_season_sum,0.021097,G1
TMEAN_5,0.016617,G0
TMIN_10,0.014469,G0
TDMEAN_season_sum,0.011995,G1
TMAX_10,0.010056,G0
Heat_stress_months,0.000000,G3
